,year,state,candidate,party,totalvotes,Eligible_voting_pop,electoralvotes,candidatevotes,state_won_flag,percent_won
314,1980,Alabama,Other,citizens,1341929,2726249.0,9.0,517,0,0.04
315,1980,Alabama,Other,socialist workers,1341929,2726249.0,9.0,1303,0,0.1
316,1980,Alabama,Other,communist party use,1341929,2726249.0,9.0,1629,0,0.12
317,1980,Alabama,Other,socialist,1341929,2726249.0,9.0,1006,0,0.07
318,1980,Alabama,Other,american independent party,1341929,2726249.0,9.0,15010,0,1.12
319,1980,Alabama,"Reagan, Ronald",republican,1341929,2726249.0,9.0,654192,1,48.75
320,1980,Alaska,Other,independent,158445,270122.0,3.0,11155,0,7.04
321,1980,Alaska,"Carter, Jimmy",democrat,158445,270122.0,3.0,41842,0,26.41
322,1980,Alaska,Other,libertarian,158445,270122.0,3.0,18479,0,11.66
323,1980,Alaska,"Reagan, Ronald",republican,158445,270122.0,3.0,86112,1,54.35
324,1980,Arizona,Other,independent,873945,1890167.0,6.0,76952,0,8.81
325,1980,Arizona,"Carter, Jimmy",democrat,873945,1890167.0,6.0,246843,0,28.24
326,1980,Arizona,Other,libertarian,873945,1890167.0,6.0,18784,0,2.15
327,1980,Arizona,Other,citizens,873945,1890167.0,6.0,551,0,0.06
328,1980,Arizona,Other,socialist workers,873945,1890167.0,6.0,1100,0,0.13
329,1980,Arizona,Other,workers world,873945,1890167.0,6.0,2,0,0.0
330,1980,Arizona,Other,communist party use,873945,1890167.0,6.0,25,0,0.0
331,1980,Arizona,"Reagan, Ronald",republican,873945,1890167.0,6.0,529688,1,60.61
332,1980,Arkansas,Other,independent,837582,1610104.0,6.0,22468,0,2.68
333,1980,Arkansas,Other,prohibition,837582,1610104.0,6.0,1350,0,0.16
334,1980,Arkansas,"Carter, Jimmy",democrat,837582,1610104.0,6.0,398041,0,47.52
